path_length,straightness,dominant_angle,direction_concentration,width,height,aspect_ratio,median_speed,p95_speed,id
16.221256,0.04466119,-1.0260077,0.027225435,0.9191826,0.51620424,1.7806568,0.0815845,0.1511201,u00001s00001_hw00003
16.043842,0.048268657,-1.242461,0.0531532,0.98081017,0.49373603,1.9865072,0.07834481,0.14618747,u00002s00001_hw00003
14.49416,0.040971708,0.4214454,0.071699895,0.86665475,0.44201955,1.9606706,0.06440334,0.15073754,u00003s00001_hw00003
14.74567,0.046632465,0.2041615,0.052696478,0.9070227,0.47422564,1.9126395,0.0723937,0.14293404,u00004s00001_hw00003
15.01878,0.042835664,0.715962,0.048794247,0.8636888,0.43678927,1.9773581,0.06949743,0.15995646,u00005s00001_hw00003
14.239245,0.049151957,0.06388703,0.05633994,0.90395653,0.43726343,2.0673041,0.0701347,0.13608417,u00006s00001_hw00003
15.017914,0.042996086,-0.0059344294,0.085642025,0.88730276,0.4627043,1.9176453,0.069964156,0.153675,u00007s00001_hw00003
14.671891,0.044904087,0.006752554,0.021457085,0.8731815,0.48371923,1.8051412,0.06569532,0.1470372,u00008s00001_hw00003
17.4991,0.031738855,-0.7039697,0.012417863,0.8942189,0.47421116,1.8856977,0.080284216,0.18558797,u00009s00001_hw00003
17.799261,0.031172233,-2.083539,0.01935067,0.893221,0.4982249,1.7928069,0.08458834,0.18164033,u00010s00001_hw00003
16.63999,0.037367363,0.076080814,0.06861881,0.87203884,0.46050784,1.893646,0.07490227,0.18060355,u00011s00001_hw00003
14.308612,0.05085727,-0.36365044,0.044852108,0.9212909,0.48210597,1.9109718,0.070302516,0.13601173,u00012s00001_hw00003
16.171135,0.038825158,0.6378763,0.059675973,0.8804369,0.46514118,1.892838,0.076414,0.1678706,u00013s00001_hw00003
16.48156,0.036341444,0.1582374,0.082950085,0.845262,0.48964298,1.7262822,0.075483575,0.17727196,u00014s00001_hw00003
15.658717,0.039774865,0.3412724,0.057898313,0.89067256,0.45142612,1.9730196,0.06862405,0.16687922,u00015s00001_hw00003
14.601236,0.044434734,0.33725497,0.0605012,0.8836898,0.46466935,1.9017606,0.07097932,0.14697096,u00016s00001_hw00003
15.142019,0.041024797,0.73936075,0.03852518,0.8791834,0.45484975,1.9329095,0.07006632,0.15950459,u00017s00001_hw00003
15.015207,0.04813837,-0.002760361,0.02930844,0.9239215,0.47694796,1.9371537,0.07192907,0.13494428,u00018s00001_hw00003
20.10362,0.027048819,-0.6523684,0.025702149,0.93589056,0.5316723,1.760277,0.092532806,0.20535424,u00019s00001_hw00003
14.666942,0.04502692,1.4922843,0.019049136,0.87462,0.45602673,1.9179139,0.069880284,0.15408067,u00020s00001_hw00003
19.778408,0.026270583,-1.2733327,0.02653451,0.94313693,0.53220904,1.7721175,0.09532096,0.20034489,u00021s00001_hw00003
15.105227,0.04308348,0.5376312,0.03610341,0.84101355,0.45493558,1.8486432,0.07219596,0.15933597,u00022s00001_hw00003
15.561461,0.040417127,0.42920378,0.07258162,0.86937326,0.44526064,1.9525042,0.070346914,0.16361436,u00023s00001_hw00003
11.6807575,0.058907695,-0.19361143,0.059573114,0.8748256,0.42965937,2.036091,0.05508944,0.116339065,u00024s00001_hw00003
16.084442,0.0398694,0.26694325,0.04738897,0.90175873,0.46233708,1.9504356,0.07385228,0.15711334,u00025s00001_hw00003
14.585569,0.041807026,0.22941631,0.06097152,0.8667525,0.44359684,1.9539195,0.06845466,0.1527455,u00026s00001_hw00003
14.773214,0.041354883,0.0719589,0.08011517,0.85427684,0.44956744,1.9002196,0.068934634,0.15555741,u00027s00001_hw00003
14.008076,0.048547387,-0.76554984,0.045737788,0.8954297,0.47851282,1.8712763,0.06690265,0.14108773,u00028s00001_hw00003
14.634943,0.042343713,0.46446258,0.06257978,0.8481362,0.44818944,1.8923609,0.06655451,0.14864388,u00029s00001_hw00003
18.528515,0.030237403,0.11746968,0.0669819,0.9020522,0.4645619,1.9417266,0.08370921,0.19924627,u00030s00001_hw00003
14.043058,0.043714922,0.14604382,0.04115788,0.86292094,0.45944726,1.8781719,0.06574183,0.13959128,u00031s00001_hw00003
16.805561,0.03433387,-0.74237096,0.042798635,0.8794135,0.47436345,1.8538812,0.07826224,0.17467237,u00032s00001_hw00003
14.69515,0.04366428,0.2757177,0.06843781,0.9076259,0.4436748,2.0457008,0.070263855,0.15307365,u00033s00001_hw00003
17.606146,0.029852469,1.9807038,0.009559759,0.8756744,0.50843275,1.7223014,0.08132866,0.1748274,u00034s00001_hw00003
16.368229,0.03652132,0.15085627,0.06484218,0.88799906,0.480575,1.8477845,0.07395217,0.17735527,u00035s00001_hw00003
15.657357,0.03662508,0.53218687,0.058479846,0.8879503,0.45969343,1.931614,0.06818876,0.15487894,u00036s00001_hw00003
17.615513,0.03060357,0.22282045,0.03453911,0.87907094,0.48143083,1.8259548,0.083867505,0.17910624,u00037s00001_hw00003
13.580697,0.047923002,0.31617102,0.07830121,0.8840683,0.44919556,1.9681145,0.06280531,0.13880545,u00038s00001_hw00003
15.929024,0.03831776,0.38604856,0.07032888,0.88059825,0.44998837,1.9569356,0.07268813,0.17142414,u00039s00001_hw00003
14.255737,0.04682272,0.24618031,0.050565876,0.8541153,0.44895416,1.9024554,0.06626753,0.15367685,u00040s00001_hw00003
