F1_in_air_time,F2_on_paper_time,F3_total_time,F4_stroke_count,duty_cycle,path_length,median_acceleration,median_speed,p95_speed,stop_ratio,straightness,dominant_angle,direction_concentration,mean_pressure,width,height,aspect_ratio,ink_density,mean_slant,std_slant,abs_mean_slant,pen_up_path_length,median_pen_up_speed,p95_pen_up_speed,pen_up_ratio,id
10163,13324,23487,59,0.5672925448120236,230744.20609509753,-0.13341440012413264,10.033134217451853,19.40078928806764,0.06191588785046729,0.0914265076391671,-44.473993792557266,98.24865871171225,534.2213438735178,21102,11817,1.7857324193957858,0.0010517768254271807,-27.133037462489252,108.81458734355057,92.43789855199788,102830.36307755488,7.354021529276429,22.706118761360056,0.4456465660298096,u00001s00001_hw00003
17535,17437,34972,58,0.4985988791032826,238642.47682573242,-0.04756619213880642,6.625,15.915529155057044,0.09650287737937141,0.0948953741225998,-64.05319750314655,133.99642776017615,694.0323694432456,21133,14041,1.5050922298981555,0.0009404483696956718,7.002174574643359,116.96779114833798,98.03273571904779,118525.03073577833,4.446965812643069,14.504619678820399,0.49666359615572836,u00002s00001_hw00003
17744,14288,32032,61,0.44605394605394605,229634.53818764217,-0.07145348786351846,7.176349730254523,14.877396657242166,0.06780595369349504,0.09273122581873974,-43.222218667005876,83.88686144835937,611.3685333333333,21162,13757,1.5382714254561314,0.0008702729589144828,-23.798018616972243,106.51705019199943,91.2883523146974,130821.95324490732,4.403478738452134,17.6879258326709,0.5696963282501009,u00003s00001_hw00003
9509,15015,24524,60,0.6122573805251998,151175.696403522,-0.12131196838668326,4.857142857142857,10.18180312074181,0.09767441860465116,0.13176728680122826,-59.073823911395685,60.80544272747296,595.0591478696742,20369,7699,2.6456682686063124,0.0010907239072438669,-18.93328553607242,112.1590215295051,93.13369073132144,80533.12620712913,5.757093875554816,18.96367727358226,0.5327121231984807,u00004s00001_hw00003
15829,15048,30877,59,0.4873530459565372,222572.07966999753,-0.1071428571428572,7.429225989714109,13.659861210754695,0.049019607843137254,0.09522352269709124,-63.96535840704941,41.11926651060661,515.5548322483726,20683,12710,1.6273013375295042,0.0009251737990102314,-7.887953924019294,114.96369746654419,98.69727680753603,115754.76913411633,5.428571428571429,17.77432705499027,0.5200776723915382,u00005s00001_hw00003
16627,14009,30636,53,0.4572724898811855,261592.0721986922,-0.15292024206420152,10.051430246487312,18.930660587664633,0.05954368391764051,0.08486802167051162,-56.67484091915195,63.29743977693129,614.7756756756756,21041,15098,1.393628295138429,0.0009577646356837291,-13.764571031470819,114.93208748418027,99.59646171608006,128205.612572012,5.0,18.580322711348416,0.49009746929422787,u00006s00001_hw00003
24427,14826,39253,67,0.3777036150103177,196578.26796837163,-0.08610481539339188,4.915257625572224,10.007067813353284,0.08105263157894736,0.10549085212558673,-63.26494984302045,120.40782316311211,419.29639044229793,20871,9264,2.2529145077720205,0.0012211851028614718,-10.84375449638656,119.70936493101821,102.40406528619782,127015.44478319056,2.809025631780529,13.85267661335492,0.6461316710941143,u00007s00001_hw00003
16403,14312,30715,64,0.46596125671496014,253837.27442680602,-0.08859058487651728,8.500919067959652,17.203334140128888,0.05606967882416984,0.08538108164261625,-69.41409305321008,89.6663381944588,537.203051025776,21292,13274,1.6040379689618804,0.0010698716529543466,-32.93323221752434,108.20091870463234,97.29744835140548,135002.6706330767,5.7083876696477525,17.22823947165799,0.5318473062631498,u00008s00001_hw00003
17890,14377,32267,62,0.44556357888864784,167689.5784790023,-0.0535714285714286,5.398205720422296,10.570295302310367,0.09332609875203472,0.11994337258784338,-39.5059391312582,149.26800208245731,347.1086614173228,20586,10063,2.045712014309848,0.0010210835092650354,15.873524008826237,116.04596637910393,97.64009495306195,95355.08738038247,3.3541019662496847,13.187751330162506,0.5686405097161278,u00009s00001_hw00003
14221,12135,26356,68,0.4604264683563515,195945.34795597044,-0.1265409641173676,8.276472678623424,14.356112030525683,0.034348671419313026,0.10486999794144997,-62.84269885336346,54.19658855166801,293.9739292364991,20845,11048,1.8867668356263576,0.0010457801877327038,-18.897919454544084,119.60069514834812,104.33888361381536,102515.70239274003,6.0,16.86164973955626,0.523185181287262,u00010s00001_hw00003
12227,13326,25553,61,0.521504324345478,216750.0796374011,-0.19218529103045223,7.875,14.439880752032762,0.06612053832650673,0.09597966740567028,-72.36563793077812,61.20707260313606,416.22146892655365,21007,12426,1.6905681635280863,0.0009627289651233788,-12.040898862958137,120.85100683264058,102.77327820883144,118005.4388790448,7.043944228115706,27.9433394902432,0.5444308905281827,u00011s00001_hw00003
11587,15516,27103,52,0.5724827509869757,246966.1744064521,-0.11457421832111248,9.150108306635275,18.914456937689497,0.08407960199004975,0.08606850887424095,-44.25619505600776,55.492317761532355,563.3496605237633,20523,12540,1.636602870813397,0.0011199840380254466,-3.7962997521323336,114.86576474797022,96.28408512906137,107110.17076753401,6.501138768399628,21.712487610223384,0.43370380994465335,u00012s00001_hw00003
11738,18907,30645,45,0.6169685103605809,171617.52061316225,-0.07781906724503607,5.518059404522276,10.363789987249296,0.09404134576408593,0.12021641316457904,-48.11988922205303,101.44644789738679,446.47929936305735,20410,8460,2.4125295508274234,0.00108616493041474,-25.173812805891437,105.29391970314673,86.76241469724746,73267.1367681092,3.5484978138212058,13.350321860544243,0.4269210772090012,u00013s00001_hw00003
