epoch;train_mse;val_mse;val_rmse;val_r2;rmse_dep;rmse_anx;rmse_str;rmse_tot;r2_dep;r2_anx;r2_str;r2_tot;lr
1;378.358.393.742.488;3.283.729.248.046.870;18.121.063.015.305.900;-1.976.910.948.753.350;7.391.488.216.386.360;8.107.781.108.413.880;13.988.225.072.318.000;3.158.245.231.050.480;-0.7698405981063843;-1.133.347.988.128.660;-29.496.774.673.461.900;-3.054.777.145.385.740;0.0005
2;29.433.291.508.601.200;20.961.880.493.164.000;14.478.218.292.719.600;-0.6322733163833618;5.567.217.251.775.500;5.586.746.690.733.860;917.326.903.268.915;2.630.818.746.206.320;-0.004030108451843262;-0.01292121410369873;-0.6985747814178467;-18.135.664.463.043.200;0.001
3;19.820.611.161.452.000;1.443.675.994.873.040;12.015.306.882.776.800;-0.3249048590660095;63.882.965.845.327.700;5.881.090.294.577.910;7.106.598.230.047.920;21.250.157.254.703.000;-0.3220275640487671;-0.12246644496917725;-0.019436001777648926;-0.8356910943984985;0.001
4;1.481.098.409.799.420;11.106.381.225.585.900;10.538.681.713.376.600;-0.13423630595207214;5.870.618.119.456.600;5.696.423.917.940.170;7.190.508.403.603.660;18.045.459.562.999.300;-0.116446852684021;-0.05308234691619873;-0.04365181922912598;-0.32376599311828613;0.000992403876506104
5;12.154.071.044.921.800;9.372.468.566.894.530;9.681.151.050.827.850;-0.020586669445037842;5.580.519.389.382.440;5.553.510.967.831.450;7.047.139.976.916.020;1.622.507.290.346.190;-0.008833765983581543;-0.0009052753448486328;-0.0024489164352416992;-0.07015979290008545;0.0009698463103929542
6;11.648.798.076.923.000;8.755.997.467.041.010;9.357.348.698.772.000;0.018388986587524414;555.254.098.271.648;5.533.983.837.328.800;686.570.833.179.045;15.544.979.666.190.100;0.0012566447257995605;0.00612109899520874;0.04850363731384277;0.01767408847808838;0.0009330127018922195
7;10.319.434.180.626.500;8.736.922.454.833.980;9.347.150.611.193.750;0.014139369130134583;5.587.861.782.027.530;5.583.855.599.796.160;6.834.979.564.577.590;15.503.434.323.725.700;-0.011490225791931152;-0.011873126029968262;0.05700176954269409;0.022917747497558594;0.000883022221559489
8;10.666.456.985.473.600;8.778.519.439.697.260;936.937.534.721.353;0.012677207589149475;563.341.655.481.628;5.540.143.637.878.020;6.827.748.163.854.140;15.559.377.334.021.400;-0.028049588203430176;0.003907322883605957;0.05899614095687866;0.015853524208068848;0.0008213938048432696
9;10.768.092.287.503.700;8.756.201.171.875;9.357.457.545.655.760;0.021599531173706055;5.543.929.744.589.070;5.527.202.957.570.820;6.829.297.277.176.380;15.566.750.799.982.300;0.004352092742919922;0.008555233478546143;0.05856901407241821;0.014920592308044434;0.00075
10;10.101.273.052.509.000;871.212.158.203.125;9.333.874.641.343.350;0.026998355984687805;5.533.685.180.477.440;549.632.313.675.985;6.822.255.839.797.590;15.527.735.844.106.000;0.008028388023376465;0.019602417945861816;0.06050938367843628;0.01985222101211548;0.0006710100716628344
